datetime,anomaly,uncert
1867-09-01 00:00:00,-0.197,0.248
1867-10-01 00:00:00,-0.075,0.27
1867-11-01 00:00:00,0.254,0.41
1867-12-01 00:00:00,-0.163,0.351
1868-01-01 00:00:00,-0.531,0.329
1868-02-01 00:00:00,-0.556,0.306
1868-03-01 00:00:00,-0.33,0.31
1868-04-01 00:00:00,-0.215,0.262
1868-05-01 00:00:00,-0.092,0.306
1868-06-01 00:00:00,-0.178,0.264
1868-07-01 00:00:00,0.027,0.232
1868-08-01 00:00:00,-0.109,0.227
1868-09-01 00:00:00,-0.262,0.215
1868-10-01 00:00:00,-0.029,0.25
1868-11-01 00:00:00,-0.302,0.282
1868-12-01 00:00:00,-0.123,0.281
1869-01-01 00:00:00,-0.251,0.384
1869-02-01 00:00:00,-0.019,0.486
1869-03-01 00:00:00,-0.47,0.306
1869-04-01 00:00:00,-0.288,0.249
1869-05-01 00:00:00,-0.195,0.232
1869-06-01 00:00:00,-0.31,0.281
1869-07-01 00:00:00,-0.289,0.239
1869-08-01 00:00:00,-0.163,0.259
1869-09-01 00:00:00,-0.12,0.238
1869-10-01 00:00:00,-0.216,0.215
1869-11-01 00:00:00,-0.178,0.222
1869-12-01 00:00:00,-0.447,0.312
1870-01-01 00:00:00,-0.251,0.298
1870-02-01 00:00:00,-0.477,0.307
1870-03-01 00:00:00,-0.31,0.304
1870-04-01 00:00:00,-0.275,0.277
1870-05-01 00:00:00,-0.254,0.24
1870-06-01 00:00:00,-0.17,0.307
1870-07-01 00:00:00,-0.104,0.223
1870-08-01 00:00:00,-0.283,0.22
1870-09-01 00:00:00,-0.245,0.208
1870-10-01 00:00:00,-0.352,0.257
1870-11-01 00:00:00,-0.344,0.275
1870-12-01 00:00:00,-0.568,0.261
1871-01-01 00:00:00,-0.484,0.311
1871-02-01 00:00:00,-0.557,0.329
1871-03-01 00:00:00,-0.253,0.246
1871-04-01 00:00:00,-0.076,0.221
1871-05-01 00:00:00,-0.326,0.269
1871-06-01 00:00:00,-0.266,0.213
1871-07-01 00:00:00,-0.151,0.2
1871-08-01 00:00:00,-0.246,0.205
1871-09-01 00:00:00,-0.351,0.235
1871-10-01 00:00:00,-0.338,0.2
1871-11-01 00:00:00,-0.506,0.265
1871-12-01 00:00:00,-0.321,0.236
1872-01-01 00:00:00,-0.508,0.384
1872-02-01 00:00:00,-0.426,0.289
1872-03-01 00:00:00,-0.318,0.293
1872-04-01 00:00:00,-0.343,0.214
1872-05-01 00:00:00,-0.177,0.206
1872-06-01 00:00:00,-0.354,0.195
1872-07-01 00:00:00,-0.159,0.21
1872-08-01 00:00:00,-0.08,0.19
1872-09-01 00:00:00,-0.178,0.19
1872-10-01 00:00:00,-0.222,0.195
1872-11-01 00:00:00,-0.381,0.249
1872-12-01 00:00:00,-0.468,0.367
1873-01-01 00:00:00,-0.24,0.282
1873-02-01 00:00:00,-0.096,0.292
1873-03-01 00:00:00,-0.296,0.23
1873-04-01 00:00:00,-0.471,0.258
1873-05-01 00:00:00,-0.276,0.213
1873-06-01 00:00:00,-0.263,0.198
1873-07-01 00:00:00,-0.193,0.187
1873-08-01 00:00:00,-0.176,0.188
1873-09-01 00:00:00,-0.398,0.205
1873-10-01 00:00:00,-0.262,0.199
1873-11-01 00:00:00,-0.341,0.244
1873-12-01 00:00:00,-0.238,0.229
1874-01-01 00:00:00,-0.201,0.335
1874-02-01 00:00:00,-0.35,0.272
1874-03-01 00:00:00,-0.624,0.235
1874-04-01 00:00:00,-0.373,0.198
